category,CV,CV,CV,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,IBD,IBD,Infection,Inflammatory,Inflammatory,Inflammatory,Inflammatory,LiverD,LiverD,LiverD,LiverD,LiverD,PD,UC,VKH
cohort,ACVD:CHN:PRJEB21528,atherosclerosis:SWE:PRJNA177201,ob:DNK:PRJEB4336,CRC:AUT:PRJEB7774,CRC:CHN:PRJEB10878,CRC:FRA:PRJEB6070,CRC:GER:PRJEB27928,CRC:GER:PRJEB6070,CRC:ITA:PRJNA447983,CRC:JPN:PRJDB4176,CRC:USA:PRJEB12449,NSCLC:FRA:PRJEB22863,RCC:FRA:PRJEB22863,adenoma:ITA:PRJNA447983,adenoma:JPN:PRJDB4176,advanced adenoma:AUT:PRJEB7774,large adenoma:FRA:PRJEB6070,melanoma:USA:PRJNA397906,small adenoma:FRA:PRJEB6070,GDM:CHN:PRJEB18755,IGT:SWE:PRJEB1786,T1D:LUX:PRJNA289586,T2D:CHN:PRJNA422434,T2D:ESP:PRJNA361402,T2D:SWE:PRJEB1786,CD:CHN:PRJEB15371,CD:ESP:PRJEB2054,acute diarrhea:USA:PRJNA321753,BD:CHN:PRJNA431482,ME/CFS:USA:PRJNA379741,RA:CHN:PRJEB6997,SPA:CHN:PRJNA375935,LC:CHN:PRJEB6337,LC:GBR:PRJEB38481,NAFLD:ESP:PRJEB14215,NAFLD:ITA:PRJEB14215,NAFLD:USA:PRJNA373901,PD:GER:PRJEB17784,UC:ESP:PRJEB2054,VKH:CHN:PRJNA356225
msp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msp_0030,0.1501817080178076,0.0124876798761509,0.0,0.1395535570250986,0.0274094633644438,0.0319791430897232,0.0,0.0,0.0939981778509553,0.0921763268181845,0.0445184736923782,0.0050702038412218,0.1107906282367711,0.0726692631738028,0.1146007337723442,0.0104468378242249,0.0,0.2240505208494178,0.0,0.0,0.0,0.0,0.0170603483384034,0.0,0.0,0.0215578892372592,0.0,0.148514707626265,0.0,0.1561125927788287,0.0,0.0,0.115781464325085,0.2229651267586642,0.0,0.0,0.1265227528943738,0.0,0.0,0.0195568265561015
msp_0031,0.0,0.1706355347344843,0.0,0.2141710955567938,0.0,0.1308919572275223,0.0,0.096205935505717,0.0646304547661058,0.0040796751101643,0.0,0.0,0.0325641411015704,0.0591415721664887,0.0469024228767646,0.0215072532732736,0.1983451124780605,0.0381831115961184,0.2217270932877416,0.0,0.0,0.0,0.0477877781971203,0.1533521093247201,0.0,0.0,0.5350284209791206,0.0,0.0586162769624975,0.0502970484818828,0.0267105202193728,0.105786886685108,0.0,0.0,0.3505355518136677,0.3437244955871718,0.0975024681964771,0.0,0.0209445085564794,0.1196357462421152
msp_0032,0.0,0.0,0.0441202487178621,0.3523640959310616,0.0,0.1720521038629033,0.1400959915492248,0.0,0.0190686667800032,0.0571717675179331,0.0085246888486228,0.0,0.28859621848366,0.0,0.0,0.1137535633844116,0.0,0.0,0.0110972325139882,0.0146973918737793,0.0,0.3254885084469169,0.0,0.1827467402466858,0.0,0.0,0.0,0.0,0.0840111044784714,0.0542162930048896,0.0789859977642356,0.0,0.0,0.0,0.0929659979114771,0.0,0.0,0.1836809337372406,0.0,0.0752021444927108
msp_0033,0.1512157983403906,0.1629401820969069,0.077932448786562,0.1483994768796499,0.0576025960889796,0.1877034114688913,0.0,0.0438078688546429,0.0232404096408219,0.0,0.0690004808623066,0.1856995751946277,0.1447376565548089,0.0,0.0,0.0,0.1168426039705707,0.0,0.1388846470964508,0.0037893041805209,0.0136540106840035,0.0,0.0,0.0,0.0,0.1015869616843212,0.0,0.0,0.0,0.0,0.0,0.0033673281406813,0.1470355335977342,0.0,0.0,0.0,0.2211130388046722,0.0,0.0,0.0
msp_0034,0.0,0.0836061234993589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0154160073583451,0.0505735342561403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0765349387572251,0.0,0.1837618485553967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034432559962936,0.0365241811396554
msp_0035,0.0,0.0,0.0,0.136844176098252,0.0,0.093803435639695,0.0676495546804092,0.0,0.0,0.0,0.0,0.0977612049138988,0.1167578764699374,0.0,0.0290820484106317,0.1888269984738687,0.0972363500476619,0.0,0.1361355663313066,0.0149762868555643,0.0,0.0,0.0777698789409382,0.0665367320233108,0.0,0.0,0.5379143536399191,0.0,0.0256589180360552,0.1498914606978111,0.0,0.1724791184180068,0.0784009875858623,0.0,0.0,0.0,0.0,0.0,0.04304069995367,0.0
msp_0036,0.0,0.2350825027679768,0.0,0.3019118571998156,0.0222235272759666,0.0358328291456476,0.0592715748439291,0.0,0.0313699447817007,0.0128057672274586,0.0462564592720613,0.0,0.0013872426577387,0.0,0.0541519775739509,0.01041382521742,0.0869887861105849,0.0,0.0973850971374374,0.0,0.0,0.2100295908553704,0.0,0.0,0.0,0.0,0.0,0.0,0.1208283859306217,0.329300590441368,0.0,0.0,0.0,0.0,0.0,0.0891623652940796,0.0,0.0,0.0347151848948975,0.0
msp_0037,0.0,0.0,0.0,0.2285683699370814,0.0,0.0647580254307101,0.0,0.0,0.1337935531571831,0.0201749796267569,0.1233762097283493,0.0554542932067895,0.0337178390002987,0.0,0.0661314249386834,0.0254533795403663,0.0,0.0,0.0963373564037571,0.0729964569394731,0.0,0.1022068529950843,0.022904957027252,0.0609245041941146,0.0,0.0,0.0,0.0,0.0033589985589499,0.2882692474008806,0.0,0.0,9.772431704876208e-05,0.0,0.0,0.1950590137083283,0.0,0.0,0.0,0.0289193235368053
msp_0038,0.0,0.1271902839257224,0.0,0.0923397818597857,0.0,0.0177477021860847,0.0,0.0,0.1975725602794655,0.0,0.1809286257379607,0.0,0.2391730481400946,0.0,0.0299276050125177,0.0775720287499013,0.0,0.0,0.0785662919741721,0.006241442794835,0.0,0.1903142459069262,0.0,0.0,0.0,0.0,0.0,0.0,0.0226513202627785,0.008552224889808,0.0,0.0,0.0,0.0,0.0,0.0713729704758631,0.0,0.0399810032433501,0.0,0.004582487224265
msp_0039,0.0,0.199725640586117,0.0,0.0259262349825268,0.0,0.0,0.0,0.0784025675107609,0.0446488507404215,0.0,0.0,0.0,0.0,0.0,0.0016567475656366,0.0717990094565921,0.1563267789897499,0.0,0.1419727675199189,0.0772011164587098,0.0,0.0762335962792119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0570268123616188,0.0,0.0,0.0,0.0,0.0,0.088841442572356,0.0,0.1018975803001679,0.0,0.0
msp_0040,0.0,0.0522623478450694,0.0,0.3136874009259185,0.0,0.0,0.0,0.0,0.0561337445833324,0.0405374015343692,0.0357948210110173,0.0,0.0230809704114257,0.0,0.0,0.1305575398094475,0.2151594377493334,0.0637130739908077,0.0197437533118498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047024711564625,0.1635515451710304,0.0,0.0867741743086781,0.0319712743844613,0.0,0.0,0.2234465339289242,0.0335889674895438,0.0,0.0,0.0512528998979554
