,NW,W
msp_0272,-0.4479702061182859,0.26131595356899995
msp_0273,1.1117127921704844,-0.6484991287661157
msp_0274,-0.8309465612499178,0.4847188273957856
msp_0275,0.8692711606212772,-0.5070748436957451
msp_0276,-0.6593246805310746,0.3846060636431268
msp_0277,0.04697920694859536,-0.02740453738668085
msp_0278,-0.7671644777079072,0.44751261199627934
msp_0279,-0.34965843869666047,0.20396742257305203
msp_0280,0.2864309655155773,-0.16708472988408665
msp_0281,0.5886298047867452,-0.34336738612560147
msp_0282,0.18056292477828623,-0.10532837278733377
msp_0285,-0.2245644543673197,0.13099593171426957
msp_0286,-0.6069991146271659,0.3540828168658467
msp_0287,-0.5442824338527891,0.3174980864141272
msp_0288,-0.6497180918720958,0.37900222025872227
msp_0289,-0.2761346380891565,0.1610785388853412
msp_0290,-0.5329748252328071,0.3109019813858042
msp_0291,-0.6126739792276306,0.35739315454945136
msp_0292,-0.6601207195159259,0.3850704197176234
msp_0293,-0.4553174170059925,0.265601826586829
msp_0294,0.09223525844762591,-0.05380390076111508
msp_0295,-0.44862858690207863,0.26170000902621265
msp_0296,-0.5467761676489009,0.3189527644618589
msp_0297,-0.5351403229534443,0.3121651883895093
msp_0298,0.6252689456555467,-0.3647402182990685
msp_0299,-0.578903382746284,0.3376936399353323
msp_0300,0.7536246495360232,-0.4396143788960136
msp_0301,0.06872142439084658,-0.040087497561327116
msp_0302,0.22254423656399216,-0.12981747132899538
msp_0303,-0.7359171229694969,0.4292849883988732
msp_0304,0.526967721874823,-0.3073978377603134
msp_0305,-0.839257834211575,0.489567069956752
msp_0306,-0.006331840340921062,0.003693573532203856
msp_0307,-0.5025359635541592,0.29314597873992576
msp_0308,-0.686770844873405,0.4006163261761529
msp_0309,-0.37973478495161755,0.22151195788844358
msp_0310,-0.5437471138232394,0.31718581639688975
msp_0311,0.40004206937934356,-0.23335787380461712
msp_0312,0.3093954238128131,-0.18048066389080786
msp_0313,-0.4305550852677497,0.251157133072854
msp_0314,-0.8019106414632741,0.4677812075202434
msp_0315,-0.7888463643100257,0.460160379180848
msp_0316,-0.4972410801935236,0.29005729677955555
msp_0317,-0.6233995861694418,0.363649758598841
msp_0318,-0.23449502942501718,0.13678876716459326
msp_0319,0.7197186575672755,-0.4198358835809108
msp_0320,-0.5094025364883544,0.29715147961820676
msp_0321,-0.3352740860181079,0.1955765501772296
msp_0322,0.5855767089915334,-0.34158641357839464
msp_0323,-0.32851136428827177,0.19163162916815824
msp_0324,-0.691401154742571,0.4033173402664998
msp_0325,-0.5405554922374296,0.3153240371385007
msp_0326,-0.24014380394621654,0.14008388563529295
msp_0327,0.6168111213710894,-0.3598064874664688
