,values,ind
561,ERS235603,ET-Firmicutes
562,ERS235604,ET-Firmicutes
563,ERS235605,ET-Firmicutes
564,ERS235606,ET-Firmicutes
565,ERS235607,ET-Firmicutes
566,ERS235608,ET-Firmicutes
567,ERS235609,ET-Firmicutes
568,ERS235610,ET-Firmicutes
569,ERS235611,ET-Firmicutes
570,ERS235612,ET-Firmicutes
571,ERS235613,ET-Firmicutes
572,ERS235614,ET-Firmicutes
573,ERS235615,ET-Firmicutes
574,ERS235616,ET-Firmicutes
575,ERS235617,ET-Firmicutes
576,ERS235618,ET-Firmicutes
577,ERS235619,ET-Firmicutes
578,ERS235620,ET-Firmicutes
579,ERS235621,ET-Firmicutes
580,ERS235622,ET-Firmicutes
581,ERS235623,ET-Firmicutes
582,ERS235624,ET-Firmicutes
583,ERS235625,ET-Firmicutes
584,ERS235626,ET-Firmicutes
585,ERS235627,ET-Firmicutes
586,ERS235628,ET-Firmicutes
587,ERS235629,ET-Firmicutes
588,ERS235630,ET-Firmicutes
589,ERS235631,ET-Firmicutes
590,ERS235632,ET-Firmicutes
591,ERS235633,ET-Firmicutes
592,ERS235634,ET-Firmicutes
593,ERS235635,ET-Firmicutes
594,ERS235636,ET-Firmicutes
595,ERS235637,ET-Firmicutes
596,ERS235638,ET-Firmicutes
597,ERS235639,ET-Firmicutes
598,ERS235576,ET-Firmicutes
599,ERS235577,ET-Firmicutes
600,ERS1487525,ET-Firmicutes
601,ERS1487526,ET-Firmicutes
602,ERS1487527,ET-Firmicutes
603,ERS1487528,ET-Firmicutes
604,ERS1487530,ET-Firmicutes
605,ERS1487533,ET-Firmicutes
606,ERS1487535,ET-Firmicutes
607,ERS1487539,ET-Firmicutes
608,ERS1487547,ET-Firmicutes
609,ERS1487553,ET-Firmicutes
610,ERS1487555,ET-Firmicutes
611,ERS1487563,ET-Firmicutes
612,ERS1487564,ET-Firmicutes
613,ERS1487569,ET-Firmicutes
614,ERS1487575,ET-Firmicutes
615,ERS1487577,ET-Firmicutes
616,ERS1487580,ET-Firmicutes
617,ERS1487581,ET-Firmicutes
618,ERS1487584,ET-Firmicutes
